id_periodo,anio,numero_semana,fecha_inicio,fecha_fin
132,2002,27,2002-07-07,2002-07-13
133,2002,28,2002-07-14,2002-07-20
134,2002,29,2002-07-21,2002-07-27
135,2002,30,2002-07-28,2002-08-03
136,2002,31,2002-08-04,2002-08-10
137,2002,32,2002-08-11,2002-08-17
138,2002,33,2002-08-18,2002-08-24
139,2002,34,2002-08-25,2002-08-31
140,2002,35,2002-09-01,2002-09-07
141,2002,36,2002-09-08,2002-09-14
142,2002,37,2002-09-15,2002-09-21
143,2002,38,2002-09-22,2002-09-28
144,2002,39,2002-09-29,2002-10-05
145,2002,40,2002-10-06,2002-10-12
146,2002,41,2002-10-13,2002-10-19
147,2002,42,2002-10-20,2002-10-26
148,2002,43,2002-10-27,2002-11-02
149,2002,44,2002-11-03,2002-11-09
150,2002,45,2002-11-10,2002-11-16
151,2002,46,2002-11-17,2002-11-23
152,2002,47,2002-11-24,2002-11-30
153,2002,48,2002-12-01,2002-12-07
154,2002,49,2002-12-08,2002-12-14
155,2002,50,2002-12-15,2002-12-21
156,2002,51,2002-12-22,2002-12-28
157,2002,52,2002-12-29,2003-01-04
158,2003,1,2003-01-05,2003-01-11
159,2003,2,2003-01-12,2003-01-18
160,2003,3,2003-01-19,2003-01-25
161,2003,4,2003-01-26,2003-02-01
162,2003,5,2003-02-02,2003-02-08
163,2003,6,2003-02-09,2003-02-15
164,2003,7,2003-02-16,2003-02-22
165,2003,8,2003-02-23,2003-03-01
166,2003,9,2003-03-02,2003-03-08
167,2003,10,2003-03-09,2003-03-15
168,2003,11,2003-03-16,2003-03-22
169,2003,12,2003-03-23,2003-03-29
170,2003,13,2003-03-30,2003-04-05
171,2003,14,2003-04-06,2003-04-12
172,2003,15,2003-04-13,2003-04-19
173,2003,16,2003-04-20,2003-04-26
174,2003,17,2003-04-27,2003-05-03
175,2003,18,2003-05-04,2003-05-10
176,2003,19,2003-05-11,2003-05-17
177,2003,20,2003-05-18,2003-05-24
178,2003,21,2003-05-25,2003-05-31
179,2003,22,2003-06-01,2003-06-07
180,2003,23,2003-06-08,2003-06-14
181,2003,24,2003-06-15,2003-06-21
182,2003,25,2003-06-22,2003-06-28
183,2003,26,2003-06-29,2003-07-05
184,2003,27,2003-07-06,2003-07-12
185,2003,28,2003-07-13,2003-07-19
186,2003,29,2003-07-20,2003-07-26
187,2003,30,2003-07-27,2003-08-02
188,2003,31,2003-08-03,2003-08-09
189,2003,32,2003-08-10,2003-08-16
190,2003,33,2003-08-17,2003-08-23
191,2003,34,2003-08-24,2003-08-30
192,2003,35,2003-08-31,2003-09-06
193,2003,36,2003-09-07,2003-09-13
194,2003,37,2003-09-14,2003-09-20
195,2003,38,2003-09-21,2003-09-27
196,2003,39,2003-09-28,2003-10-04
197,2003,40,2003-10-05,2003-10-11
198,2003,41,2003-10-12,2003-10-18
199,2003,42,2003-10-19,2003-10-25
200,2003,43,2003-10-26,2003-11-01
201,2003,44,2003-11-02,2003-11-08
202,2003,45,2003-11-09,2003-11-15
203,2003,46,2003-11-16,2003-11-22
204,2003,47,2003-11-23,2003-11-29
205,2003,48,2003-11-30,2003-12-06
206,2003,49,2003-12-07,2003-12-13
207,2003,50,2003-12-14,2003-12-20
208,2003,51,2003-12-21,2003-12-27
209,2003,52,2003-12-28,2004-01-03
210,2004,1,2004-01-04,2004-01-10
211,2004,2,2004-01-11,2004-01-17
212,2004,3,2004-01-18,2004-01-24
213,2004,4,2004-01-25,2004-01-31
214,2004,5,2004-02-01,2004-02-07
215,2004,6,2004-02-08,2004-02-14
216,2004,7,2004-02-15,2004-02-21
217,2004,8,2004-02-22,2004-02-28
218,2004,9,2004-02-29,2004-03-06
219,2004,10,2004-03-07,2004-03-13
220,2004,11,2004-03-14,2004-03-20
221,2004,12,2004-03-21,2004-03-27
222,2004,13,2004-03-28,2004-04-03
223,2004,14,2004-04-04,2004-04-10
224,2004,15,2004-04-11,2004-04-17
225,2004,16,2004-04-18,2004-04-24
226,2004,17,2004-04-25,2004-05-01
227,2004,18,2004-05-02,2004-05-08
228,2004,19,2004-05-09,2004-05-15
229,2004,20,2004-05-16,2004-05-22
230,2004,21,2004-05-23,2004-05-29
231,2004,22,2004-05-30,2004-06-05
232,2004,23,2004-06-06,2004-06-12
233,2004,24,2004-06-13,2004-06-19
234,2004,25,2004-06-20,2004-06-26
235,2004,26,2004-06-27,2004-07-03
236,2004,27,2004-07-04,2004-07-10
237,2004,28,2004-07-11,2004-07-17
238,2004,29,2004-07-18,2004-07-24
239,2004,30,2004-07-25,2004-07-31
240,2004,31,2004-08-01,2004-08-07
241,2004,32,2004-08-08,2004-08-14
242,2004,33,2004-08-15,2004-08-21
